Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,IP079EBG,12/06/2024,12:00,GHANA - PREMIER LEAGUE,Dreams,Real Tamale,ROUND 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pIepWIGN,12/06/2024,12:00,NIGERIA - NPFL,Kwara,Kano Pillars,ROUND 36,1.55,3.6,5.9,1.44,2.42,,,1.33,2.77,1.98,1.65,3.25,1.25,,,2.02,1.62,,,,,8.5,13.5,35.0,120.0,5.6,7.2,19.0,70.0,6.5,8.25,19.5,70.0,10.75,14.0,32.0,110.0,
3,tQbTZ0Hb,12/06/2024,12:00,NIGERIA - NPFL,Gombe,Abia Warriors,ROUND 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,WEDBnv14,12/06/2024,12:00,NIGERIA - NPFL,Enyimba,Bayelsa United,ROUND 36,1.28,4.65,10.5,1.42,2.47,,,1.32,2.82,1.93,1.7,3.2,1.26,,,2.6,1.38,,,,,8.75,19.5,75.0,400.0,5.0,10.25,40.0,200.0,4.85,10.0,37.0,200.0,6.8,14.0,55.0,300.0,
5,8C0LyNnn,12/06/2024,12:00,NIGERIA - NPFL,Bendel,Rivers United,ROUND 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0f5Srd0T,12/06/2024,12:00,NIGERIA - NPFL,Akwa United,Katsina Utd,ROUND 36,1.5,3.75,6.4,1.47,2.32,,,1.4,2.52,2.15,1.55,3.65,1.2,,,2.32,1.47,,,,,7.6,12.5,37.0,150.0,4.9,7.7,23.0,100.0,5.7,9.0,26.0,110.0,9.5,15.0,45.0,200.0,
7,4SBJpIVG,12/06/2024,12:00,NIGERIA - NPFL,Niger Tornadoes,Lobi Stars,ROUND 36,1.72,3.35,4.7,1.52,2.2,1.12,4.6,1.45,2.37,2.32,1.47,4.0,1.16,,,2.2,1.52,,,,,5.1,9.5,24.0,90.0,5.0,6.8,17.0,60.0,6.7,9.0,23.0,80.0,13.0,17.5,45.0,150.0,
8,4CVhHIid,12/06/2024,12:00,FINLAND - VEIKKAUSLIIGA,SJK,Ekenas,-,1.42,4.75,7.0,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,1.91,1.91,1.4,2.85,1.11,6.6,15.0,19.0,41.0,81.0,8.0,9.0,21.0,51.0,7.0,8.5,19.0,41.0,9.5,11.0,23.0,51.0,251.0
9,zmK2l0Wi,12/06/2024,12:00,NIGERIA - NPFL,Remo Stars,Heartland,ROUND 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,QLWlIbxj,12/06/2024,12:00,FINLAND - VEIKKAUSLIIGA,KuPS,Haka,-,1.48,4.5,5.75,1.33,3.25,1.03,15.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.95,1.8,1.48,2.6,1.15,5.5,13.0,15.0,34.0,67.0,7.0,8.5,17.0,41.0,7.0,8.5,19.0,41.0,10.0,12.0,26.0,51.0,301.0
