League,N1,N2,N3
Argentina Prim B Nacional,Under35,Under35,Over35
Argentina Primera División,Under35,Over35,Over35
Australia A-League,Under35,Over35,Under35
Austria Bundesliga,Under35,Under35,Under35
Belgium Pro League,Under35,Under35,Under35
Bolivia LFPB,Under35,Over35,Over35
Brazil Serie A,Under35,Under35,Over35
Brazil Serie B,Under35,Under35,Over35
Brazil Serie C,Under35,Under35,Under35
Brazil Serie D,Under35,Under35,Under35
Bulgaria First League,Under35,Under35,Under35
Canada Canadian Premier League,Under35,Under35,Over35
Chile Primera B,Under35,Under35,Under35
Chile Primera División,Under35,Over35,Over35
Chile Segunda División,Under35,Under35,Over35
China Chinese Super League,Over35,Under35,Under35
Colombia Categoria Primera A,Under35,Under35,Under35
Colombia Categoria Primera B,Under35,Over35,Under35
Croatia Prva HNL,Over35,Over35,Under35
Czech Republic First League,Over35,Over35,Under35
Denmark 1st Division,Over35,Over35,Under35
Denmark Superliga,Under35,Over35,Under35
Ecuador Primera Categoría Serie A,Over35,Under35,Over35
Egypt Egyptian Premier League,Under35,Over35,Under35
England Championship,Under35,Under35,Under35
England EFL League One,Under35,Under35,Over35
England EFL League Two,Over35,Under35,Under35
England National League,Under35,Under35,Under35
England Premier League,Over35,Under35,Under35
Finland Veikkausliiga,Under35,Over35,Under35
France Ligue 1,Under35,Over35,Under35
France Ligue 2,Under35,Under35,Over35
Germany 2. Bundesliga,Over35,Over35,Under35
Germany Bundesliga,Over35,Over35,Over35
Greece Super League,Over35,Over35,Over35
Hungary NB I,Under35,Under35,Under35
Italy Serie A,Under35,Under35,Under35
Italy Serie B,Under35,Over35,Under35
Japan J1 League,Over35,Under35,Under35
Japan J2 League,Under35,Under35,Under35
Mexico Ascenso MX,Under35,Under35,Under35
Mexico Liga MX,Over35,Under35,Under35
Netherlands Eerste Divisie,Over35,Under35,Over35
Netherlands Eredivisie,Over35,Over35,Over35
Netherlands Tweede Divisie,Under35,Under35,Under35
Norway Eliteserien,Under35,Over35,Under35
Paraguay Division Profesional,Over35,Under35,Under35
Peru Primera División,Under35,Over35,Under35
Poland Ekstraklasa,Under35,Under35,Under35
Portugal Liga NOS,Under35,Under35,Over35
Portugal LigaPro,Under35,Under35,Over35
Republic of Ireland Premier Division,Under35,Over35,Over35
Romania Liga I,Under35,Under35,Under35
Scotland Premiership,Under35,Over35,Under35
Serbia SuperLiga,Over35,Under35,Under35
Slovakia Super Liga,Under35,Over35,Over35
Slovenia PrvaLiga,Under35,Under35,Under35
South Korea K League 1,Under35,Over35,Under35
South Korea K League 2,Over35,Over35,Under35
Spain La Liga,Under35,Under35,Over35
Spain Segunda División,Under35,Under35,Over35
Sweden Allsvenskan,Under35,Over35,Under35
Switzerland Super League,Over35,Under35,Under35
Tunisia Ligue 1,Under35,Under35,Under35
Turkey Süper Lig,Under35,Under35,Under35
USA MLS,Under35,Under35,Over35
USA USL Championship,Over35,Under35,Under35
Ukraine Ukrainian Premier League,Over35,Over35,Over35
Uruguay Primera División,Under35,Over35,Under35
Uruguay Segunda División,Over35,Under35,Under35
Venezuela Primera División,Over35,Over35,Under35
