League,N1,N2,N3
Argentina Prim B Nacional,BTTS_Não,BTTS_Sim,BTTS_Não
Argentina Primera División,BTTS_Sim,BTTS_Sim,BTTS_Não
Australia A-League,BTTS_Não,BTTS_Sim,BTTS_Sim
Austria Bundesliga,BTTS_Não,BTTS_Não,BTTS_Não
Belgium Pro League,BTTS_Não,BTTS_Não,BTTS_Sim
Bolivia LFPB,BTTS_Não,BTTS_Não,BTTS_Sim
Brazil Serie A,BTTS_Não,BTTS_Sim,BTTS_Sim
Brazil Serie B,BTTS_Não,BTTS_Não,BTTS_Sim
Brazil Serie C,BTTS_Sim,BTTS_Sim,BTTS_Sim
Brazil Serie D,BTTS_Não,BTTS_Não,BTTS_Não
Bulgaria First League,BTTS_Não,BTTS_Não,BTTS_Sim
Canada Canadian Premier League,BTTS_Não,BTTS_Sim,BTTS_Sim
Chile Primera B,BTTS_Não,BTTS_Sim,BTTS_Não
Chile Primera División,BTTS_Sim,BTTS_Sim,BTTS_Não
Chile Segunda División,BTTS_Não,BTTS_Não,BTTS_Não
China Chinese Super League,BTTS_Sim,BTTS_Sim,BTTS_Sim
Colombia Categoria Primera A,BTTS_Não,BTTS_Não,BTTS_Não
Colombia Categoria Primera B,BTTS_Sim,BTTS_Sim,BTTS_Sim
Croatia Prva HNL,BTTS_Não,BTTS_Sim,BTTS_Não
Czech Republic First League,BTTS_Não,BTTS_Sim,BTTS_Não
Denmark 1st Division,BTTS_Não,BTTS_Sim,BTTS_Sim
Denmark Superliga,BTTS_Sim,BTTS_Não,BTTS_Não
Ecuador Primera Categoría Serie A,BTTS_Sim,BTTS_Não,BTTS_Sim
Egypt Egyptian Premier League,BTTS_Sim,BTTS_Sim,BTTS_Sim
England Championship,BTTS_Não,BTTS_Sim,BTTS_Sim
England EFL League One,BTTS_Não,BTTS_Sim,BTTS_Não
England EFL League Two,BTTS_Não,BTTS_Sim,BTTS_Não
England National League,BTTS_Sim,BTTS_Não,BTTS_Sim
England Premier League,BTTS_Não,BTTS_Sim,BTTS_Não
Finland Veikkausliiga,BTTS_Não,BTTS_Não,BTTS_Sim
France Ligue 1,BTTS_Não,BTTS_Sim,BTTS_Sim
France Ligue 2,BTTS_Sim,BTTS_Sim,BTTS_Não
Germany 2. Bundesliga,BTTS_Sim,BTTS_Sim,BTTS_Não
Germany Bundesliga,BTTS_Sim,BTTS_Não,BTTS_Não
Greece Super League,BTTS_Sim,BTTS_Sim,BTTS_Não
Hungary NB I,BTTS_Não,BTTS_Não,BTTS_Não
Italy Serie A,BTTS_Não,BTTS_Não,BTTS_Não
Italy Serie B,BTTS_Não,BTTS_Sim,BTTS_Não
Japan J1 League,BTTS_Não,BTTS_Sim,BTTS_Sim
Japan J2 League,BTTS_Não,BTTS_Sim,BTTS_Sim
Mexico Ascenso MX,BTTS_Sim,BTTS_Não,BTTS_Sim
Mexico Liga MX,BTTS_Não,BTTS_Não,BTTS_Sim
Netherlands Eerste Divisie,BTTS_Não,BTTS_Não,BTTS_Não
Netherlands Eredivisie,BTTS_Não,BTTS_Sim,BTTS_Não
Netherlands Tweede Divisie,BTTS_Sim,BTTS_Sim,BTTS_Sim
Norway Eliteserien,BTTS_Sim,BTTS_Sim,BTTS_Sim
Paraguay Division Profesional,BTTS_Não,BTTS_Não,BTTS_Não
Peru Primera División,BTTS_Não,BTTS_Sim,BTTS_Sim
Poland Ekstraklasa,BTTS_Não,BTTS_Sim,BTTS_Sim
Portugal Liga NOS,BTTS_Sim,BTTS_Sim,BTTS_Não
Portugal LigaPro,BTTS_Não,BTTS_Sim,BTTS_Sim
Republic of Ireland Premier Division,BTTS_Não,BTTS_Não,BTTS_Não
Romania Liga I,BTTS_Não,BTTS_Sim,BTTS_Sim
Scotland Premiership,BTTS_Sim,BTTS_Não,BTTS_Sim
Serbia SuperLiga,BTTS_Não,BTTS_Não,BTTS_Sim
Slovakia Super Liga,BTTS_Não,BTTS_Sim,BTTS_Sim
Slovenia PrvaLiga,BTTS_Sim,BTTS_Sim,BTTS_Não
South Korea K League 1,BTTS_Sim,BTTS_Sim,BTTS_Sim
South Korea K League 2,BTTS_Não,BTTS_Sim,BTTS_Sim
Spain La Liga,BTTS_Não,BTTS_Não,BTTS_Sim
Spain Segunda División,BTTS_Não,BTTS_Não,BTTS_Não
Sweden Allsvenskan,BTTS_Sim,BTTS_Não,BTTS_Não
Switzerland Super League,BTTS_Não,BTTS_Sim,BTTS_Não
Tunisia Ligue 1,BTTS_Não,BTTS_Sim,BTTS_Sim
Turkey Süper Lig,BTTS_Sim,BTTS_Sim,BTTS_Sim
USA MLS,BTTS_Sim,BTTS_Sim,BTTS_Não
USA USL Championship,BTTS_Sim,BTTS_Sim,BTTS_Não
Ukraine Ukrainian Premier League,BTTS_Não,BTTS_Sim,BTTS_Sim
Uruguay Primera División,BTTS_Sim,BTTS_Sim,BTTS_Sim
Uruguay Segunda División,BTTS_Sim,BTTS_Não,BTTS_Sim
Venezuela Primera División,BTTS_Não,BTTS_Não,BTTS_Sim
