League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SWEDEN - ALLSVENSKAN,20/05/2023,10:00,Degerfors,AIK,3.8,3.5,2.0
SWITZERLAND - SUPER LEAGUE,20/05/2023,13:00,Winterthur,Servette,4.0,3.6,1.85
ENGLAND - PREMIER LEAGUE,20/05/2023,13:30,Nottingham,Arsenal,5.0,4.33,1.6
SPAIN - LALIGA2,20/05/2023,13:30,Lugo,Huesca,4.2,3.1,2.0
SPAIN - LALIGA2,20/05/2023,13:30,Mirandes,Granada CF,5.0,3.7,1.7
SPAIN - LALIGA2,20/05/2023,13:30,Ponferradina,Albacete,4.2,3.4,1.91
FRANCE - LIGUE 2,20/05/2023,14:00,Guingamp,Metz,4.75,3.5,1.75
PORTUGAL - LIGA PORTUGAL,20/05/2023,14:00,Boavista,Braga,5.5,4.0,1.53
POLAND - EKSTRAKLASA,20/05/2023,15:00,Lechia Gdansk,Legia,4.0,3.5,1.8
BRAZIL - SERIE A,20/05/2023,18:30,Coritiba,Atletico-MG,4.2,3.3,1.95
BRAZIL - SERIE A,20/05/2023,21:00,Santos,Palmeiras,4.0,3.4,1.95
