League,N1,N2,N3
Argentina Prim B Nacional,A,A,A
Argentina Primera División,H,D,A
Australia A-League,H,H,H
Austria Bundesliga,D,H,A
Belgium Pro League,D,A,H
Bolivia LFPB,H,H,A
Brazil Serie A,D,A,D
Brazil Serie B,H,A,H
Brazil Serie C,A,H,D
Brazil Serie D,H,D,D
Bulgaria First League,H,D,A
Canada Canadian Premier League,H,D,D
Chile Primera B,D,H,H
Chile Primera División,D,D,H
Chile Segunda División,A,D,H
China Chinese Super League,H,D,H
Colombia Categoria Primera A,H,A,H
Colombia Categoria Primera B,D,D,D
Croatia Prva HNL,A,D,H
Czech Republic First League,A,H,A
Denmark 1st Division,D,H,H
Denmark Superliga,H,D,A
Ecuador Primera Categoría Serie A,D,H,A
Egypt Egyptian Premier League,D,A,A
England Championship,A,H,H
England EFL League One,H,D,D
England EFL League Two,H,D,A
England National League,D,H,A
England Premier League,H,H,D
Finland Veikkausliiga,A,D,A
France Ligue 1,D,A,A
France Ligue 2,H,D,H
Germany 2. Bundesliga,H,A,D
Germany Bundesliga,D,A,D
Greece Super League,H,H,H
Hungary NB I,D,H,D
Italy Serie A,D,H,D
Italy Serie B,H,H,H
Japan J1 League,H,H,H
Japan J2 League,H,D,H
Mexico Ascenso MX,A,D,A
Mexico Liga MX,D,H,A
Netherlands Eerste Divisie,H,D,H
Netherlands Eredivisie,H,H,H
Netherlands Tweede Divisie,A,H,A
Norway Eliteserien,H,H,H
Paraguay Division Profesional,A,A,A
Peru Primera División,H,H,D
Poland Ekstraklasa,D,H,D
Portugal Liga NOS,D,H,H
Portugal LigaPro,H,D,A
Republic of Ireland Premier Division,H,A,D
Romania Liga I,A,A,D
Scotland Premiership,D,A,H
Serbia SuperLiga,A,H,A
Slovakia Super Liga,H,H,D
Slovenia PrvaLiga,D,H,H
South Korea K League 1,D,D,H
South Korea K League 2,H,D,D
Spain La Liga,H,D,H
Spain Segunda División,D,D,H
Sweden Allsvenskan,H,D,A
Switzerland Super League,D,D,D
Tunisia Ligue 1,H,D,A
Turkey Süper Lig,H,A,H
USA MLS,H,A,H
USA USL Championship,A,A,H
Ukraine Ukrainian Premier League,D,H,D
Uruguay Primera División,D,H,A
Uruguay Segunda División,H,A,A
Venezuela Primera División,D,A,A
