League,N1,N2,N3
ARGENTINA - COPA DE LA LIGA PROFESIONAL,A,D,H
ARMENIA - PREMIER LEAGUE,A,D,D
BRAZIL - SERIE A,A,D,A
COLOMBIA - PRIMERA A,H,D,A
ENGLAND - CHAMPIONSHIP,H,D,D
ENGLAND - LEAGUE ONE,H,A,A
ENGLAND - LEAGUE TWO,H,H,A
ITALY - SERIE C,D,D,A
LIECHTENSTEIN - LIECHTENSTEIN CUP,D,D,A
MEXICO - LIGA DE EXPANSION MX,H,A,H
MEXICO - LIGA MX,H,D,A
PARAGUAY - PRIMERA DIVISION,D,H,A
POLAND - EKSTRAKLASA,H,H,H
ROMANIA - LIGA 2,D,H,A
SCOTLAND - LEAGUE TWO,H,H,A
SCOTLAND - PREMIERSHIP,A,H,H
SWEDEN - SUPERETTAN,D,H,A
URUGUAY - PRIMERA DIVISION,D,D,D
