League,N1,N2,N3
ALBANIA - SUPERLIGA,Over05,Over05,Under05
AUSTRALIA - A-LEAGUE,Over05,Over05,Over05
AUSTRIA - 2. LIGA,Over05,Over05,Over05
AZERBAIJAN - PREMIER LEAGUE,Over05,Over05,Over05
BELGIUM - CHALLENGER PRO LEAGUE,Over05,Over05,Over05
BELGIUM - JUPILER PRO LEAGUE,Over05,Over05,Over05
BOLIVIA - DIVISION PROFESIONAL,Over05,Over05,Over05
BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Over05,Over05,Over05
BRAZIL - SERIE A,Under05,Over05,Over05
BULGARIA - PARVA LIGA,Over05,Over05,Over05
CHILE - PRIMERA DIVISION,Over05,Over05,Over05
CROATIA - HNL,Over05,Over05,Over05
ENGLAND - CHAMPIONSHIP,Over05,Over05,Over05
GEORGIA - CRYSTALBET EROVNULI LIGA,Over05,Over05,Over05
HONG KONG - PREMIER LEAGUE,Under05,Over05,Over05
IRAQ - SUPER LEAGUE,Over05,Over05,Over05
ITALY - SERIE C,Over05,Over05,Over05
MEXICO - LIGA MX,Over05,Over05,Over05
MOROCCO - BOTOLA PRO,Over05,Over05,Over05
NETHERLANDS - EERSTE DIVISIE,Over05,Over05,Over05
NICARAGUA - LIGA PRIMERA,Over05,Over05,Over05
NORTHERN IRELAND - NIFL CHAMPIONSHIP,Over05,Over05,Over05
NORTHERN IRELAND - NIFL PREMIERSHIP,Over05,Over05,Over05
PARAGUAY - PRIMERA DIVISION,Over05,Over05,Under05
POLAND - DIVISION 1,Over05,Over05,Over05
POLAND - EKSTRAKLASA,Over05,Over05,Over05
PORTUGAL - TAÇA DE PORTUGAL,Over05,Over05,Over05
QATAR - QSL,Over05,Over05,Over05
ROMANIA - LIGA 1,Over05,Over05,Over05
ROMANIA - LIGA 2,Over05,Over05,Over05
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Over05,Over05,Over05
SERBIA - SUPER LIGA,Over05,Over05,Over05
SLOVAKIA - NIKE LIGA,Over05,Over05,Over05
SOUTH KOREA - K LEAGUE 1,Over05,Over05,Over05
SPAIN - LALIGA2,Over05,Over05,Under05
SWEDEN - ALLSVENSKAN,Over05,Over05,Over05
SWITZERLAND - CHALLENGE LEAGUE,Over05,Over05,Over05
THAILAND - THAI LEAGUE 1,Over05,Over05,Under05
URUGUAY - PRIMERA DIVISION,Over05,Over05,Over05
UZBEKISTAN - SUPER LEAGUE,Over05,Over05,Over05
VIETNAM - V.LEAGUE 1,Under05,Over05,Under05
